2026-01-28 13:08:30.931422 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:08:45.932219 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:09:03.933193 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:09:11.985998 INFO  Main start
2026-01-28 13:09:13.123882 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:12:12.966943 INFO  Main start
2026-01-28 13:12:27.942415 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:14:56.243034 INFO  Main start
2026-01-28 13:15:10.768350 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:15:26.854385 INFO  Main start
2026-01-28 13:15:29.580522 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:15:40.275299 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:16:11.862157 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:16:13.812851 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:16:44.863932 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:16:47.864123 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:16:48.252277 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:20.865930 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:23.866122 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:26.866315 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:29.866531 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:32.866758 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:35.866954 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:38.867157 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:41.867354 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:44.867556 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:47.867780 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:50.867982 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:50.873272 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:53.868185 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:53.873604 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:56.868396 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:56.873853 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:59.868616 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:17:59.873848 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:02.868853 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:02.874063 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:05.869044 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:05.874256 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:08.869259 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:08.874609 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:11.869463 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:11.874772 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:14.869697 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:14.874941 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:17.869919 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:17.875224 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:20.870119 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:20.875424 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:23.870338 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:23.875678 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:26.870547 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:26.875789 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:29.870772 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:29.876085 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:32.870964 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:32.876420 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:35.871182 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:35.876465 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:38.871393 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:38.876892 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:41.871611 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:41.876828 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:44.871850 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:44.877217 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:47.872042 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:47.877248 INFO  [PATH] event start RECOMPUTE4
2026-01-28 13:18:50.872259 INFO  [PATH] event start RECOMPUTE4
